_id;id_transaksi;tanggal;pelanggan.nama;pelanggan.email;pelanggan.tipe;produk.nama_produk;produk.kategori;produk.harga_satuan;produk.jumlah;pembayaran.metode;pembayaran.total_harga;pembayaran.diskon;pembayaran.total_bayar;lokasi.kota;lokasi.provinsi
6a118f6afad93264426638dc;TRX-N4W6PBQF;25/06/2025;Siti Aminah;user0@example.com;Member;Kopi Susu Gula Aren 1L;Kuliner;65000;4;Kartu Kredit;260000;0;260000;Surabaya;Jawa Timur
6a118f6afad93264426638dd;TRX-9GS0NDE5;02/10/2025;Andi Wijaya;user1@example.com;Member;Smartphone Samsung S24;Elektronik;13000000;3;E-Wallet (OVO/Dana);39000000;0;39000000;Surabaya;Jawa Timur
6a118f6afad93264426638de;TRX-763C1PZ2;10/07/2025;Eko Prasetyo;user2@example.com;Member;Meja Kerja Minimalis;Furniture;1200000;4;Transfer Bank;4800000;0;4800000;Bandung;Jawa Barat
6a118f6afad93264426638df;TRX-K45RFB4Y;20/04/2025;Eko Prasetyo;user3@example.com;Non-Member;Kemeja Flanel Oversize;Fashion;250000;4;Kartu Kredit;1000000;0;1000000;Sukabumi;Jawa Barat
6a118f6afad93264426638e0;TRX-XQ5LMUF9;18/02/2025;Fahmi Idris;user4@example.com;Non-Member;Laptop ASUS ROG;Elektronik;20000000;4;E-Wallet (OVO/Dana);80000000;0;80000000;Jakarta;DKI Jakarta
6a118f6afad93264426638e1;TRX-18VX4D3Z;01/07/2025;Andi Wijaya;user5@example.com;Member;Kopi Susu Gula Aren 1L;Kuliner;65000;3;E-Wallet (OVO/Dana);195000;0;195000;Surabaya;Jawa Timur
6a118f6afad93264426638e2;TRX-4SXRBF3H;22/04/2025;Fahmi Idris;user6@example.com;Member;Paket Ayam Bakar Madu;Kuliner;35000;1;Kartu Kredit;35000;0;35000;Medan;Sumatera Utara
6a118f6afad93264426638e3;TRX-LCVL6TSS;24/01/2025;Dewi Lestari;user7@example.com;Non-Member;Smartphone Samsung S24;Elektronik;13000000;3;Kartu Kredit;39000000;0;39000000;Bandung;Jawa Barat
6a118f6afad93264426638e4;TRX-11PHYBYI;09/06/2025;Budi Santoso;user8@example.com;Member;Kemeja Flanel Oversize;Fashion;250000;1;Kartu Kredit;250000;0;250000;Bandung;Jawa Barat
6a118f6afad93264426638e5;TRX-UCCKL1R3;06/04/2026;Fahmi Idris;user9@example.com;Member;Smartphone Samsung S24;Elektronik;13000000;3;Transfer Bank;39000000;0;39000000;Surabaya;Jawa Timur
6a118f6afad93264426638e6;TRX-FSL5S3BJ;22/05/2026;Budi Santoso;user10@example.com;Member;Kemeja Flanel Oversize;Fashion;250000;1;Transfer Bank;250000;0;250000;Medan;Sumatera Utara
6a118f6afad93264426638e7;TRX-75KT363H;23/01/2025;Andi Wijaya;user11@example.com;Member;Kursi Gaming Premium;Furniture;2500000;2;E-Wallet (OVO/Dana);5000000;0;5000000;Surabaya;Jawa Timur
6a118f6afad93264426638e8;TRX-4XZNVPOW;09/05/2026;Jono Adriansyah;user12@example.com;Non-Member;Kursi Gaming Premium;Furniture;2500000;1;Kartu Kredit;2500000;0;2500000;Medan;Sumatera Utara
6a118f6afad93264426638e9;TRX-BQWEYCFI;10/10/2025;Fahmi Idris;user13@example.com;Non-Member;Kemeja Flanel Oversize;Fashion;250000;1;Kartu Kredit;250000;0;250000;Sukabumi;Jawa Barat
6a118f6afad93264426638ea;TRX-R66FDZCO;04/01/2026;Novianti;user14@example.com;Non-Member;Laptop ASUS ROG;Elektronik;20000000;4;COD;80000000;0;80000000;Jakarta;DKI Jakarta
6a118f6afad93264426638eb;TRX-I99EOI50;13/02/2026;Siti Aminah;user15@example.com;Non-Member;Kursi Gaming Premium;Furniture;2500000;2;Transfer Bank;5000000;0;5000000;Semarang;Jawa Tengah
6a118f6afad93264426638ec;TRX-JW0G8VIT;19/01/2025;Fahmi Idris;user16@example.com;Member;Sepatu Sneaker Lokal;Fashion;450000;1;COD;450000;0;450000;Makassar;Sulawesi Selatan
6a118f6afad93264426638ed;TRX-AAETCKDA;06/12/2025;Jono Adriansyah;user17@example.com;Non-Member;Kursi Gaming Premium;Furniture;2500000;4;Kartu Kredit;10000000;0;10000000;Sukabumi;Jawa Barat
